# This file was produced by: bcftools roh(1.2-279-g1bdf8e3+htslib-1.2.1-162-gb611659)
# The command line was:	bcftools roh -G30 --AF-dflt 0.4 test.vcf.gz
#
# [1]Chromosome	[2]Position	[3]State (0:HW, 1:AZ)	[4]Quality
1	14907	0	3.0
1	14930	0	96.1
1	15211	0	99.0
1	16378	0	99.0
1	69511	0	99.0
1	129285	0	55.1
1	133129	0	92.9
1	133483	0	99.0
1	136048	0	99.0
1	753405	0	89.5
1	753425	0	37.4
1	753474	0	37.4
1	808631	0	68.2
1	808922	0	77.4
1	808928	0	99.0
1	814668	0	99.0
1	824094	0	57.1
1	866319	0	55.0
1	876499	0	54.0
1	880238	0	54.9
1	881627	0	56.1
1	881918	0	88.5
1	883625	0	89.3
1	887560	0	35.1
1	887801	0	32.3
1	888639	0	32.2
1	888659	0	32.1
1	889158	0	32.1
1	892745	0	32.1
1	894573	0	32.1
1	897325	0	32.1
1	897564	0	32.2
1	898323	0	32.2
1	900505	0	32.2
1	908823	0	63.4
1	909238	0	99.0
1	909309	0	99.0
1	909419	0	99.0
1	909555	0	99.0
1	909768	0	85.4
1	911916	0	83.3
1	914876	0	99.0
1	915227	0	64.9
1	943468	0	64.7
1	943687	0	95.0
1	948870	0	59.3
1	948921	0	50.5
1	949235	0	50.5
1	949608	0	50.4
1	949654	0	50.4
1	949925	0	50.4
1	951628	0	50.5
1	957640	0	50.9
1	957898	0	91.2
1	977203	0	99.0
1	977330	0	63.9
1	977570	0	63.9
1	979748	0	64.0
1	980460	0	98.2
1	981087	0	99.0
1	982722	0	89.3
1	982941	0	99.0
1	982994	0	88.8
1	985797	0	99.0
1	986038	0	99.0
1	986286	0	99.0
1	986443	0	99.0
1	987200	0	99.0
1	1019841	0	99.0
1	1021415	0	99.0
1	1102563	0	99.0
1	1119657	0	90.0
1	1158631	0	54.8
1	1225579	0	52.8
1	1229286	0	91.5
1	1246004	0	99.0
1	1249187	0	49.2
1	1254136	0	48.9
1	1254436	0	48.7
1	1254443	0	48.7
1	1254841	0	48.7
1	1262591	0	48.8
1	1262966	0	89.2
1	1263144	0	79.3
1	1263457	0	99.0
1	1268847	0	75.5
1	1269554	0	67.3
1	1269888	0	67.2
1	1275291	0	98.1
1	1277533	0	99.0
1	1278237	0	53.4
1	1284490	0	52.9
1	1289911	0	51.5
1	1293764	0	51.2
1	1296691	0	51.2
1	1296818	0	82.1
1	1308982	0	50.7
1	1314172	0	42.8
1	1314245	0	42.2
1	1387667	0	42.2
1	1395983	0	41.6
1	1469546	0	41.7
1	1478880	0	78.5
1	1479057	0	81.2
1	1479082	0	99.0
1	1558792	0	99.0
1	1560103	0	62.7
1	1562437	0	63.4
1	1562536	0	99.0
1	1562895	0	75.7
1	1574019	0	75.2
1	1574076	0	99.0
1	1575616	0	99.0
1	1575836	0	85.4
1	1576636	0	99.0
1	1580738	0	84.7
1	1581096	0	99.0
1	1581926	0	99.0
1	1582106	0	99.0
1	1582202	0	99.0
1	1585597	0	99.0
1	1585642	0	60.7
1	1586752	0	60.6
1	1635004	0	91.2
1	1635619	0	71.6
1	1635749	0	99.0
1	1636044	0	73.1
1	1636274	0	72.0
1	1639801	0	71.7
1	1647686	0	70.8
1	1647778	0	82.4
1	1647814	0	99.0
1	1648027	0	99.0
1	1649740	0	88.6
1	1650051	0	83.4
1	1650807	0	83.8
1	1650845	0	99.0
1	1651047	0	99.0
1	1651063	0	99.0
1	1653004	0	99.0
1	1653028	0	38.3
1	1653303	0	38.3
1	1653885	0	38.2
1	1663831	0	38.1
1	1666175	0	37.6
1	1667253	0	37.6
1	1667371	0	37.6
1	1667419	0	37.6
1	1669734	0	37.6
1	1685213	0	37.7
1	1686040	0	42.4
1	1686943	0	43.7
1	1686962	0	86.7
1	1687625	0	63.2
1	1688192	0	95.6
1	1688469	0	99.0
1	1689762	0	83.4
1	1696659	0	99.0
1	1854321	0	91.2
1	1855450	0	46.1
1	1859131	0	46.1
1	1886859	0	46.3
1	1887019	0	95.4
1	1887245	0	79.3
1	1888193	0	99.0
1	1895177	0	99.0
1	1896223	0	99.0
1	1897753	0	99.0
1	1900232	0	99.0
1	1900332	0	99.0
1	1900339	0	99.0
1	1903303	0	99.0
1	1916890	0	99.0
1	1918488	0	99.0
1	1918535	0	99.0
1	1922303	0	99.0
1	1956362	0	99.0
1	1957037	0	99.0
1	1960926	0	99.0
1	2118539	0	55.4
1	2121118	0	43.9
1	2234251	0	43.9
1	2234632	0	94.0
1	2286947	0	99.0
1	2288747	0	55.9
1	2311393	0	86.8
1	2328501	0	95.6
1	2328714	0	99.0
1	2332391	0	99.0
1	2338126	0	99.0
1	2340200	0	99.0
1	2379501	0	67.0
1	2409892	0	90.2
1	2411451	0	59.0
1	2411598	0	59.1
1	2418935	0	89.9
1	2420590	0	60.0
1	2420913	0	59.7
1	2422614	0	59.7
1	2430617	0	60.0
1	2431057	0	99.0
